No., 5+2, 5+1,   5, 4+2,  4+1,     4,   3+2,    2+2,     3+1,        3,    1+2,     2+1,   2,       Total
966,   0,   0,   3,    15,  233,    536,     483,   7642,     9933,     21029,     42164,   141147,    300499,   523684
965,   0,   1,   3,    16,  294,    441,     489,   5873,     9983,     18855,     27252,   127343,    247678,   438228
964,   0,   2,   3,     9,  170,    333,     413,   5271,     7932,     18239,     28742,   114882,    265254,   441250
963,   0,   0,   1,     8,  118,    283,     248,   4530,     5106,     10925,     24956,    76327,    163333,   285835
962,   0,   1,   1,     9,  189,    350,     359,   5464,     7531,     16704,     28976,   108944,    240059,   408587
961,   0,   1,   3,    14,  170,    435,     358,   5569,     6519,     13814,     24948,    83188,    171585,   306604
960,   0,   0,   1,     5,  145,    271,     455,   3986,     7490,     20073,     20840,   103688,    276459,   433413
959,   0,   2,   0,     5,  100,    239,     198,   3247,     4654,     10833,     17439,    70267,    162968,   269952
958,   0,   0,   8,    14,  308,    471,    1134,   6389,    11066,     34568,     32229,   140668,    399365,   626220
957,   0,   0,   1,     5,  123,    225,     257,   3872,     5422,     12764,     20713,    81295,    191026,   315703
956,   0,   0,   4,     9,  222,    452,     419,   6108,     8953,     18706,     31104,   123987,    262083,   452047
955,   0,   0,   0,     8,  116,    320,     263,   5198,     5285,     10487,     29404,    76013,    153817,   280911
954,   0,   3,   0,     7,  159,    436,     322,   6310,     7526,     15795,     32986,   112472,    235050,   411066
953,   0,   0,   2,     2,  132,    319,     234,   3792,     5344,     11160,     19903,    80847,    166843,   288578
952,   0,   0,   2,    14,  199,    765,     373,  10381,     9889,     18664,     49922,   138306,    266919,   495434
951,   0,   0,   0,     6,  131,    316,     305,   4167,     5568,     12412,     20429,    77995,    174120,   295449
950,   0,   2,   1,    17,  265,    778,     564,  10171,    11919,     25321,     49078,   166151,    349882,   614149
949,   0,   2,   5,     6,  228,    429,     415,   5517,     8240,     17501,     26690,   110103,    236897,   406033
948,   0,   0,   0,     8,  201,    349,     406,   5308,     7871,     18569,     27971,   118666,    276765,   456114
947,   0,   0,   1,    16,  193,    413,     379,   5348,     6873,     15254,     26109,    94244,    201770,   350600
946,   0,   2,   6,    20,  249,    477,     842,   6671,    10148,     27257,     33178,   137237,    354062,   570149
945,   0,   3,   4,    17,  415,    822,     981,  11929,    17862,     41337,     60710,   249292,    571509,   954881
944,   0,   2,   5,    16,  511,    889,    1241,  12242,    20032,     47594,     63498,   269228,    629346,  1044604
943,   0,   0,   3,    13,  315,    627,     651,   8774,    13524,     28529,     45972,   186159,    415184,   699751
942,   0,   2,   3,    21,  384,    879,     882,  12890,    17895,     41735,     68722,   262354,    610514,  1016281
941,   0,   2,   3,     6,  164,    282,     398,   4238,     7139,     18934,     22592,   103891,    265766,   423415
940,   0,   0,   1,     9,  206,    387,     587,   8329,     9219,     17642,     46922,   138094,    264677,   486073
939,   0,   0,   1,     3,  108,    281,     299,   5058,     5715,     11805,     27639,    88181,    178530,   317620
938,   1,   1,   6,    13,  237,    585,     560,   7833,    11416,     24839,     39321,   157162,    335995,   577969
937,   0,   0,   1,    11,  173,    373,     422,   6045,     7706,     15632,     31165,   110712,    220741,   392981
936,   0,   1,   8,    22,  387,    714,     753,  10233,    14153,     27903,     46589,   178774,    349681,   629218
935,   0,   0,   1,     5,  130,    286,     302,   4329,     6389,     12825,     22821,    89095,    182960,   319143
934,   3,   2,   5,    13,  292,    723,     484,   7376,     9666,     20174,     38953,   140500,    292239,   510430
933,   0,   0,   0,     5,  146,    289,     345,   5129,     6506,     12741,     26250,    93601,    184393,   329405
932,   0,   1,   2,    16,  248,    485,     582,   8607,    11525,     21401,     44760,   168370,    310288,   566285
931,   0,   2,   2,     8,  119,    231,     373,   5657,     6080,     12006,     30618,    91517,    179603,   326216
930,   0,   1,   1,    18,  243,    478,     755,  11608,    12676,     22480,     58659,   183514,    329200,   619633
929,   0,   0,   1,    12,  151,    296,     408,   6213,     6913,     13137,     34748,   102047,    197369,   361295
928,   0,   0,   2,     8,  224,    453,     502,   7676,    10068,     20482,     39377,   146635,    305027,   530454
927,   0,   0,   2,     8,  146,    304,     333,   5158,     6654,     13968,     27761,   100129,    208836,   363299
926,   0,   1,   3,    18,  248,    492,     735,  10215,    10993,     20412,     54128,   158681,    296528,   552454
925,   0,   0,   3,     3,  162,    280,     383,   5487,     6420,     12388,     29713,    93125,    183285,   331249
924,   1,   0,   2,    10,  307,    586,     720,  10642,    13020,     26299,     58977,   196271,    387569,   694404
923,   0,   0,   0,    12,  188,    373,     415,   5961,     8144,     17464,     31136,   119506,    256468,   439667
922,   0,   0,   3,    16,  256,    486,     656,  10301,    11369,     21518,     54569,   166441,    316721,   582336
921,   0,   0,   2,     3,  164,    308,     418,   6483,     7649,     14687,     34079,   107402,    208350,   379545
920,   0,   1,   3,    27,  315,    696,     698,   9439,    13052,     27296,     45188,   172797,    356551,   626063
919,   0,   0,   1,    10,  164,    343,     352,   4894,     6942,     14945,     26029,    97503,    214081,   365264
918,   0,   2,   3,    16,  305,    521,     880,  10884,    11693,     22207,     51263,   164013,    308516,   570303
917,   0,   2,   1,     8,  140,    269,     309,   4887,     6309,     11955,     26920,    94893,    178857,   324550
916,   0,   0,   5,    14,  209,    454,     493,   7088,     9349,     20768,     37164,   141001,    317194,   533739
915,   0,   0,   0,     4,  143,    264,     331,   4729,     5909,     11487,     26553,    87062,    166153,   302635
914,   0,   2,   1,    10,  309,    708,     717,   9631,    14141,     29748,     48573,   188245,    399350,   691435
913,   0,   1,   3,    13,  160,    336,     379,   5368,     6947,     13925,     28653,   102009,    198348,   356142
912,   0,   1,   2,    18,  257,    504,     679,   9845,    11674,     22701,     50606,   159522,    313346,   569155
911,   0,   0,   3,     6,  109,    218,     282,   4542,     5737,     11520,     24054,    84763,    174186,   305420
910,   0,   0,   0,    31,  446,    661,     799,  10898,    13816,     24952,     59509,   194397,    356261,   661770
909,   0,   0,   2,     9,  195,    361,     528,   7942,     8485,     16585,     43551,   127771,    243684,   449113
908,   0,   0,   5,    12,  272,    598,     595,   8642,    11299,     25879,     44900,   165476,    375857,   633535
907,   0,   2,   1,     9,  201,    400,     493,   6457,     9156,     16649,     31931,   122074,    224249,   411622
906,   0,   1,   3,    21,  256,    528,     789,  11557,    12997,     25860,     60797,   188929,    371356,   673094
905,   0,   2,   0,    15,  153,    337,     430,   6220,     7396,     14643,     31806,   105713,    211874,   378589
904,   0,   0,   1,    17,  235,    450,     671,  10329,    10363,     19962,     53638,   153951,    295696,   545313
903,   0,   0,   2,     9,  134,    289,     324,   4839,     6293,     13130,     26326,    94087,    197119,   342552
902,   0,   2,   3,    12,  251,    683,     503,   7041,    10232,     26376,     37185,   138270,    353829,   574387
901,   0,   0,   4,    10,  167,    372,     475,   6803,     7980,     16265,     35931,   122334,    253165,   443506
900,   0,   0,   5,    15,  243,    499,     543,   8030,    10395,     21699,     42755,   150177,    326363,   560724
899,   0,   0,   0,    14,  167,    300,     509,   8226,     7488,     14211,     44349,   114398,    212633,   402295
898,   0,   1,   2,    14,  256,    565,     647,   8854,    12235,     27647,     47236,   184471,    410954,   692882
897,   0,   2,   3,     6,  164,    297,     469,   6789,     7561,     14300,     36038,   110677,    209801,   386107
896,   0,   1,   2,     9,  218,    469,     507,   7145,     9414,     20715,     38650,   138640,    298082,   513852
895,   0,   0,   0,     8,  201,    367,     601,   8132,     8611,     15869,     37557,   116594,    212110,   400050
894,   0,   0,   2,    11,  200,    431,     533,   7640,     9372,     18378,     43036,   142328,    273643,   495574
893,   1,   1,   2,     4,  218,    485,     442,   6036,     9072,     19952,     32026,   124125,    270324,   462688
892,   0,   1,   5,    14,  221,    482,     542,   8239,    10799,     22723,     43461,   159306,    342507,   588300
891,   0,   1,   1,    17,  271,    415,     648,   7786,    10175,     17682,     37059,   124567,    228066,   426688
890,   0,   0,   0,    22,  275,    471,     605,   9191,    11250,     22357,     47838,   159844,    318435,   570288
889,   0,   0,   2,     7,  172,    358,     331,   4453,     6721,     14803,     23232,    96987,    202628,   349694
888,   0,   1,   4,    19,  295,    549,     781,  11251,    12023,     23099,     59560,   174052,    333847,   615481
887,   0,   1,   2,     6,  130,    254,     431,   6452,     6730,     12662,     33601,    97741,    186173,   344183
886,   0,   2,   0,    15,  253,    548,     580,   8534,    12140,     25416,     43973,   172598,    361447,   625506
885,   0,   1,   2,     9,  158,    351,     384,   5472,     7723,     16664,     28118,   112148,    240525,   411555
884,   0,   1,   2,     9,  203,    431,     559,   8623,    10076,     19591,     48507,   152522,    305230,   545754
883,   0,   2,   0,    18,  275,    450,     516,   6680,     9522,     17274,     32496,   119863,    225782,   412878
882,   0,   1,   0,    11,  304,    537,     620,   8943,    11584,     23135,     45842,   165787,    330008,   586772
881,   0,   0,   2,     9,  194,    504,     334,   4777,     6931,     19214,     24771,    93863,    248379,   398978
880,   0,   1,   3,     5,  266,    554,     622,   9343,    12581,     26090,     49526,   183239,    386036,   668266
879,   1,   0,   2,     6,  129,    342,     316,   5145,     6238,     15034,     27798,    93101,    217199,   365311
878,   0,   0,   0,    15,  204,    397,     630,   9820,    10192,     19756,     53803,   159550,    302568,   556935
877,   0,   0,   0,     6,  130,    332,     303,   4564,     6159,     13850,     24750,    92537,    205521,   348152
876,   1,   0,   7,    20,  251,    483,     700,  10251,    11579,     22273,     55117,   170837,    325693,   597212
875,   0,   1,   1,    14,  201,    362,     529,   6720,     9017,     16281,     33583,   122152,    224462,   413323
874,   0,   1,   1,    22,  255,    442,     648,   9626,    10595,     20767,     53158,   157290,    305557,   558362
873,   0,   3,   2,    14,  207,    418,     551,   7550,     9128,     17140,     36281,   122040,    235551,   428885
872,   0,   3,   2,    25,  484,    957,    1259,  17582,    22690,     42789,     90546,   321875,    619684,  1117896
871,   0,   0,   5,     7,  222,    491,     578,   9165,    10791,     21697,     51523,   160919,    319334,   574732
870,   0,   3,   2,    27,  501,    869,     860,  12243,    19023,     36097,     61557,   257430,    485766,   874378
869,   0,   1,   2,     8,  169,    356,     470,   8287,     8507,     16613,     48142,   131547,    250166,   464268
868,   0,   0,   0,    18,  245,    606,     639,   9458,    12219,     28143,     52041,   178975,    410169,   692513
867,   0,   0,   1,    14,  199,    402,     506,   7318,     9686,     18106,     37152,   133455,    263277,   470116
866,   0,   0,   1,    15,  282,    615,     898,  13467,    13870,     26744,     76244,   209105,    403420,   744661
865,   0,   0,   0,    17,  159,    349,     481,   6269,     7640,     16528,     30678,   116130,    249541,   427792
864,   0,   1,   3,    18,  280,    589,     864,  12661,    12461,     25992,     70237,   185287,    350639,   659032
863,   0,   1,   1,     7,  160,    334,     397,   6157,     8105,     15277,     34621,   121606,    232678,   419344
862,   0,   2,   3,    28,  497,    892,    1218,  16669,    19706,     36927,     84290,   273900,    517991,   952123
861,   0,   2,   1,     8,  215,    402,     432,   6811,     8897,     18339,     37569,   136858,    279835,   489369
860,   0,   1,   3,    15,  312,    625,     828,  11772,    15138,     29043,     61911,   221336,    421758,   762742
859,   0,   0,   2,    13,  246,    595,     518,   6899,    11179,     23964,     34925,   145574,    311385,   535300
