No., 5+2, 5+1,   5, 4+2,  4+1,     4,   3+2,    2+2,     3+1,        3,    1+2,     2+1,   2,       Total
255,   0,   0,   0,  16,  231,   341,   674,  10087,   10220,    14702,  52745,  145987,   235003
254,   0,   0,   1,  20,  178,   294,   740,   9662,   12505,    14180,  71447,  153065,   262092
253,   0,   1,   4,  24,  220,   320,   928,  11137,   13221,    15922,  69123,  166333,   277233
252,   0,   1,   0,  23,  338,   438,   999,  12373,   13559,    17419,  67161,  168216,   280527
251,   0,   0,   4,  16,  304,   441,   877,  13008,   12563,    18910,  64015,  181831,   291969
250,   0,   1,   3,  16,  245,   369,   760,  10413,   11153,    15841,  60908,  156664,   256373
249,   0,   1,   4,  29,  419,   519,  1032,  15348,   12569,    21138,  60366,  195029,   306454
248,   0,   1,   4,  15,  355,   471,   891,  13539,   11973,    19476,  61040,  186072,   293837
247,   0,   5,   1,  26,  300,   403,   918,  12032,   14655,    18262,  82598,  187315,   316515
246,   0,   3,   0,  15,  261,   397,   825,  12176,   11778,    19923,  62135,  179610,   287123
245,   0,   1,   0,  10,  267,   352,   819,  12194,   11412,    17222,  60218,  172603,   275098
244,   0,   2,   0,  17,  256,   427,   897,  11762,   12059,    19900,  65337,  173787,   284444
243,   0,   1,   4,  23,  491,   598,   864,  16461,   12053,    22125,  58408,  205651,   316679
242,   0,   4,   6,  82, 1086,  1662,  3394,  51201,   47875,    78540, 256383,  744417,  1184650
241,   0,   2,   0,  21,  302,   482,   864,  13343,   11775,    21273,  60862,  182582,   291506
240,   0,   1,   3,  28,  260,   421,  1230,  12577,   16359,    18280,  84036,  172577,   305772
239,   0,   7,   6,  52,  868,  1286,  3009,  40264,   42656,    60413, 216870,  578340,   943771
238,   0,   3,  10,  44,  530,   810,  1816,  24663,   27293,    35895, 147116,  360670,   598850
237,   0,   0,   2,  50,  481,   645,  1848,  20160,   25111,    27166, 115954,  283973,   475390
236,   0,   1,   2,  23,  418,   606,  1208,  17698,   16169,    26015,  82850,  248168,   393158
235,   0,   3,   1,  24,  270,   410,  1079,  14144,   15451,    20008,  81446,  201732,   334568
234,   0,   0,   2,  12,  209,   341,   732,  10214,   10527,    15043,  55982,  146239,   239301
233,   0,   0,   3,  30,  408,   496,  1200,  14126,   13565,    18873,  59666,  167511,   275878
232,   0,   1,   4,  15,  278,   401,   689,  11313,    9706,    15774,  48692,  151040,   237913
231,   0,   4,   1,  14,  308,   453,   842,  13476,   10937,    18539,  51118,  171993,   267685
230,   0,   0,   1,  31,  315,   378,  1157,  12993,   14513,    17420,  63996,  171564,   282368
229,   0,   1,   3,  33,  379,   509,  1249,  15307,   17353,    21244,  89943,  219872,   365893
228,   0,   0,   2,  20,  221,   356,   956,  11579,   14656,    16706,  75442,  174169,   294107
227,   0,   1,   0,  19,  207,   322,   770,   9616,   10750,    15432,  57123,  141344,   235584
226,   0,   0,   5,  10,  240,   324,   660,  10041,    9452,    15801,  48277,  143260,   228070
