Day,DD,MMM,YYYY,   Sales  ,   %Chg
Tue,11,May,2021,  33455008,  -36.9
Fri, 7,May,2021,  53010444,  +41.6
Tue, 4,May,2021,  37437693,  -33.6
Fri,30,Apr,2021,  56381528,  +58.4
Tue,27,Apr,2021,  35604209,  -21.9
Fri,23,Apr,2021,  45574196,  +14.8
Tue,20,Apr,2021,  39702970,  -22.4
Fri,16,Apr,2021,  51157238,  +34.5
Tue,13,Apr,2021,  38040777,  -23.0
Fri, 9,Apr,2021,  49398941,  +45.9
Tue, 6,Apr,2021,  33862100,  -49.2
Fri, 2,Apr,2021,  66687730,  +27.2
Tue,30,Mar,2021,  52446327,  -21.1
Fri,26,Mar,2021,  66468421,  +41.7
Tue,23,Mar,2021,  46917126,  -19.1
Fri,19,Mar,2021,  58024578,  +33.8
Tue,16,Mar,2021,  43364698,  -24.0
Fri,12,Mar,2021,  57078084,  +41.7
Tue, 9,Mar,2021,  40268651,  -24.1
Fri, 5,Mar,2021,  53075319,  +34.6
Tue, 2,Mar,2021,  39426938,  -66.1
Fri,26,Feb,2021, 116336748,  +22.8
Tue,23,Feb,2021,  94705763,  -10.6
Fri,19,Feb,2021, 105979531,  +57.9
Tue,16,Feb,2021,  67122274,  -18.0
Fri,12,Feb,2021,  81829170,  +30.1
Tue, 9,Feb,2021,  62892688,  -31.2
Fri, 5,Feb,2021,  91405134, +134.9
Tue, 2,Feb,2021,  38913725,  -19.8
Fri,29,Jan,2021,  48496980,  +44.3
Tue,26,Jan,2021,  33598376,  -38.2
Fri,22,Jan,2021,  54391657,  +33.9
Tue,19,Jan,2021,  40609041,  -22.5
Fri,15,Jan,2021,  52414112,  +36.0
Tue,12,Jan,2021,  38538934,  -22.7
Fri, 8,Jan,2021,  49843959,  +36.7
Tue, 5,Jan,2021,  36461203,  -38.7
Fri, 1,Jan,2021,  59522710,  +47.1
Tue,29,Dec,2020,  40466990,  -14.3
Fri,25,Dec,2020,  47217070,   +8.2
Tue,22,Dec,2020,  43655512,  -18.3
Fri,18,Dec,2020,  53457676,  +35.6
Tue,15,Dec,2020,  39418214,  -66.2
Fri,11,Dec,2020, 116456395,  +25.9
Tue, 8,Dec,2020,  92505914,  -22.2
Fri, 4,Dec,2020, 118873045,  +74.9
Tue, 1,Dec,2020,  67973828,  -15.9
Fri,27,Nov,2020,  80865390,  +34.0
Tue,24,Nov,2020,  60342584,  -29.7
Fri,20,Nov,2020,  85872170, +105.1
Tue,17,Nov,2020,  41863533,  -31.6
Fri,13,Nov,2020,  61209836,  +60.0
Tue,10,Nov,2020,  38258640,  -20.6
Fri, 6,Nov,2020,  48158499,  +40.7
Tue, 3,Nov,2020,  34218824,  -24.0
Fri,30,Oct,2020,  45022113,   +6.8
Tue,27,Oct,2020,  42143808,  -23.0
Fri,23,Oct,2020,  54739803,  +37.4
Tue,20,Oct,2020,  39835091,  -22.3
Fri,16,Oct,2020,  51286432,  +41.0
Tue,13,Oct,2020,  36383922,  -24.6
Fri, 9,Oct,2020,  48267815,  +39.6
Tue, 6,Oct,2020,  34574977,  -30.0
Fri, 2,Oct,2020,  49409164,  +37.9
Tue,29,Sep,2020,  35835410,  -58.5
Fri,25,Sep,2020,  86447822,  +97.8
Tue,22,Sep,2020,  43696660,  -25.2
Fri,18,Sep,2020,  58401569,  +46.5
Tue,15,Sep,2020,  39856411,  -20.3
Fri,11,Sep,2020,  49996793,  +37.3
Tue, 8,Sep,2020,  36419591,  -24.7
Fri, 4,Sep,2020,  48344680,  -23.3
Tue, 1,Sep,2020,  63044558,  -14.1
Fri,28,Aug,2020,  73403006,  +30.0
Tue,25,Aug,2020,  56454912,  -12.9
Fri,21,Aug,2020,  64848739,  +42.6
Tue,18,Aug,2020,  45465808,  -16.7
Fri,14,Aug,2020,  54593653,  +35.0
Tue,11,Aug,2020,  40431112,  -25.1
Fri, 7,Aug,2020,  54001868,  +47.1
Tue, 4,Aug,2020,  36714653,  -19.7
Fri,31,Jul,2020,  45716265,  +36.2
Tue,28,Jul,2020,  33568299,  -22.2
Fri,24,Jul,2020,  43124042,  +16.6
Tue,21,Jul,2020,  36989290,  -21.3
Fri,17,Jul,2020,  47026637,  +37.1
Tue,14,Jul,2020,  34296353,  -25.7
Fri,10,Jul,2020,  46189476,  -25.9
Tue, 7,Jul,2020,  62310354,  -28.6
Fri, 3,Jul,2020,  87319586, +122.3
Tue,30,Jun,2020,  39280847,  -17.3
